pb_company,comp_company,gvkey,tic,match_score,deal_date,deal_year,deal_size,deal_type2,pb_industry_code,pb_investors,pb_industry_sector,pb_industry_group
Scana Communications,SAGA COMMUNICATIONS INC,27790,SGA,92.3076923076923,23-Feb-2015,2015,150.00,Corporate Divestiture,Internet Service Providers,Spirit Communications (Robert Keane),Information Technology,Communications and Networking
Ustream,QUSTREAM CORP,160391,QVC.,93.33333333333333,21-Jan-2016,2016,150.00,,"Broadcasting, Radio and Television",International Business Machines (NYS: IBM) (Robert Leblanc),Consumer Products and Services (B2C),Media
Wind Capital Group,WINFIELD CAPITAL CORP,61472,WCAP.1,85.71428571428572,17-Jun-2008,2008,150.00,,Energy Infrastructure,NTR (Jim Barry),Energy,Energy Services
Windhaven Investment Management,PZENA INVESTMENT MANAGEMENT,178703,PZN,82.75862068965517,09-Nov-2010,2010,150.00,,Other Financial Services,The Charles Schwab (NYS: SCHW) (Walter Bettinger),Financial Services,Other Financial Services
Accumed Technologies,LUMEN TECHNOLOGIES INC,2884,LUMN,84.21052631578947,21-Dec-2016,2016,149.00,,Other Healthcare Services,Lear (NYS: LEA) (Doug Moeller),Healthcare,Healthcare Services
KVS Transportation,CSX TRANSPORTATION INC,9537,CSX3,88.88888888888889,01-Oct-2013,2013,149.00,,Road,Nabors Industries (NYS: NBR) (Eugene Isenberg),Business Products and Services (B2B),Commercial Transportation
Official Payments,OFFICIAL PAYMENTS CORP,126717,OPAY.,100.0,05-Nov-2013,2013,148.80,,Other Financial Services,ACI Worldwide (NAS: ACIW) (Philip Heasley),Financial Services,Other Financial Services
NaviNet,NAVIENT CORP,10121,NAVI,85.71428571428572,01-Jan-2016,2016,148.73,,Medical Records Systems,NantHealth (Patrick Soon-Shiong),Healthcare,Healthcare Technology Systems
LGC Wireless,CIG WIRELESS CORP,186654,3CIGW,83.33333333333334,03-Dec-2007,2007,148.50,,Internet Service Providers,ADC Telecommunications (Robert Switz),Information Technology,Communications and Networking
Coining,CORNING INC,3532,GLW,85.71428571428572,09-May-2011,2011,148.00,,"Other Metals, Minerals and Mining",AMETEK (NYS: AME) (Frank Hermance),Materials and Resources,"Metals, Minerals and Mining"
Lason,LASON INC,63741,LSSN,100.0,28-Feb-2007,2007,148.00,,IT Consulting and Outsourcing,HandsOn Global Management (HGM) (BOM: 532761) (Sunil Rajadhyaksha),Information Technology,IT Services
Srs Labs,SRS LABS INC,63462,SRSL,100.0,23-Jul-2012,2012,148.00,,Entertainment Software,DTS,Information Technology,Software
Mergent,EMERGENT GROUP INC,111581,LZR,93.33333333333333,03-Jan-2017,2017,147.00,,Other Capital Markets/Institutions,London Stock Exchange Group (LON: LSEG) (Mark Makepeace),Financial Services,Capital Markets/Institutions
Credo Petroleum,CREDO PETROLEUM CORP,3594,CRED.1,100.0,28-Sep-2012,2012,146.40,,Energy Exploration,Forestar (NYS: FOR) (Jim DeCosmo),Energy,"Exploration, Production and Refining"
M5 Networks,MSG NETWORKS INC,184157,MSGN,86.95652173913044,29-Mar-2012,2012,146.30,,Connectivity Products,Shoretel (Don Joos),Information Technology,Communications and Networking
TrueVision,EVISION INTERNATIONAL INC,15411,EVIS,82.35294117647058,19-Dec-2018,2018,146.00,,Monitoring Equipment,Alcon (SWX: ALC),Healthcare,Healthcare Devices and Supplies
Tumbleweed Communications,TUMBLEWEED COMMUNICATIONS CO,122741,TMWD,94.33962264150944,04-Sep-2008,2008,146.00,,Business/Productivity Software,74Software (PAR: 74SW) (Christophe Fabre),Information Technology,Software
