pb_company,comp_company,gvkey,tic,match_score,deal_date,deal_year,deal_size,deal_type2,pb_industry_code,pb_investors,pb_industry_sector,pb_industry_group
Capital Gold,CAPITAL GOLD CORP,12782,CGC.4,100.0,08-Apr-2011,2011,459.30,,Gold Mining,AuRico Gold,Materials and Resources,"Metals, Minerals and Mining"
Helix Technology,HELIX TECHNOLOGY CORP,5578,HELX.1,100.0,26-Oct-2005,2005,458.10,,Machinery (B2B),Azenta Life Sciences (NAS: AZTA),Business Products and Services (B2B),Commercial Products
Genoptix,GENOPTIX INC,178738,GXDX,100.0,08-Mar-2011,2011,458.00,,Laboratory Services (Healthcare),Novartis (SWX: NOVN) (Joseph Jimenez),Healthcare,Healthcare Services
neuroFix Therapeutics,NURIX THERAPEUTICS INC,36767,NRIX,90.9090909090909,09-Sep-2015,2015,458.00,,Drug Discovery,Aevi Genomic Medicine (Michael Cola),Healthcare,Pharmaceuticals and Biotechnology
Omrix Biopharmaceuticals,OMRIX BIOPHARMACEUTICALS,166450,OMRI,100.0,30-Dec-2008,2008,458.00,,Biotechnology,Johnson & Johnson (NYS: JNJ),Healthcare,Pharmaceuticals and Biotechnology
ASV,ASV HOLDINGS INC,31292,ASV,100.0,26-Feb-2008,2008,457.00,,Machinery (B2B),Terex (NYS: TEX) (Ronald DeFeo),Business Products and Services (B2B),Commercial Products
Flag Financial,FLAG FINANCIAL CORP,17016,FLAG.1,100.0,09-Aug-2006,2006,456.00,,National Banks,Royal Bank of Canada (TSE: RY),Financial Services,Commercial Banks
Graceway Pharmaceuticals,ATEA PHARMACEUTICALS INC,37292,AVIR,86.36363636363636,02-Dec-2011,2011,455.00,,Pharmaceuticals,Medicis Pharmaceutical,Healthcare,Pharmaceuticals and Biotechnology
GeoLogistics,GXO LOGISTIC INC,39319,GXO,83.33333333333334,07-Sep-2005,2005,454.00,,Logistics,Agility Public Warehousing Company (KUW: MKHZN) (Tarek Abdulaziz Sultan Al Essa),Business Products and Services (B2B),Commercial Services
nuTonomy,AUTONOMY CORP PLC,221237,AUTNY.,87.5,21-Nov-2017,2017,454.00,,Business/Productivity Software,Aptiv (NYS: APTV) (Kevin Clark),Information Technology,Software
Adeza Biomedical,ADEZA BIOMEDICAL CORP,161037,ADZA,100.0,03-Apr-2007,2007,452.00,,Other Healthcare Services,Cytyc (Patrick Sullivan),Healthcare,Healthcare Services
KNBT Bancorp,KNBT BANCORP INC,155856,KNBT,100.0,01-Feb-2008,2008,451.70,,Regional Banks,National Penn Bancshares (Glenn Moyer),Financial Services,Commercial Banks
Akcea Therapeutics,AKCEA THERAPEUTICS INC,32046,AKCA,100.0,12-Oct-2020,2020,450.60,,Drug Discovery,Ionis Pharmaceuticals (NAS: IONS) (Brett Monia),Healthcare,Pharmaceuticals and Biotechnology
Varel Energy Solutions,WORLD ENERGY SOLUTIONS INC,176068,XWES,86.36363636363636,21-May-2014,2014,450.32,,Other Commercial Products,Sandvik (STO: SAND),Business Products and Services (B2B),Commercial Products
Axia Health Management,HEALTH MANAGEMENT ASSOC,12338,HMA.2,84.44444444444444,01-Dec-2006,2006,450.00,,Other Healthcare Services,Tivity Health,Healthcare,Healthcare Services
Lamson & Sessions,LAMSON & SESSIONS CO,6571,LMS,91.89189189189189,17-Aug-2007,2007,450.00,,Industrial Supplies and Parts,Thomas & Betts (Dominic Pileggi),Business Products and Services (B2B),Commercial Products
US LEC,US LEC CORP,109929,CLEC,100.0,28-Feb-2007,2007,450.00,,Telecommunications Service Providers,Paetec Holding,Information Technology,Communications and Networking
128 Technology,R2 TECHNOLOGY INC,146619,RTWO,88.88888888888889,30-Nov-2020,2020,448.20,,Internet Service Providers,Juniper Networks (Rami Rahim),Information Technology,Communications and Networking
PEC Solutions,PEC SOLUTIONS INC,133987,PECS,100.0,07-Jun-2005,2005,448.00,,Systems and Information Management,Nortel Networks (William Owens),Information Technology,IT Services
Clarion Partners,CROWN PARTNERS INC,63061,3CRWP,86.66666666666667,13-Apr-2016,2016,447.40,,Real Estate Investment Trusts (REITs),Legg Mason (Joseph Sullivan),Financial Services,Other Financial Services
WashingtonFirst Bank,WASHINGTONFIRST BANKSHARES,160546,WFBI,86.95652173913044,01-Jan-2018,2018,446.65,,National Banks,Sandy Spring Bancorp (Daniel Schrider),Financial Services,Commercial Banks
Demandtec,DEMANDTEC INC,178113,DMAN.1,100.0,14-Feb-2012,2012,446.40,,Business/Productivity Software,International Business Machines (NYS: IBM) (Craig Hayman),Information Technology,Software
Mapinfo,MAPINFO CORP,29661,MAPS.1,100.0,19-Apr-2007,2007,445.75,,Business/Productivity Software,Pitney Bowes (NYS: PBI),Information Technology,Software
DTN,DTVN HOLDINGS INC,61769,DTVN,85.71428571428572,28-Oct-2008,2008,445.00,,Media and Information Services (B2B),"Telvent GIT, VSS Capital Partners",Business Products and Services (B2B),Commercial Services
Alliance Bancorp,ALLIANCE BANCORP INC,25508,ABCL.1,100.0,09-Oct-2015,2015,443.10,,National Banks,WSFS Financial (NAS: WSFS),Financial Services,Commercial Banks
Omthera Pharmaceuticals,OMTHERA PHARMACEUTICALS,17500,OMTH,100.0,18-Jul-2013,2013,443.00,,Drug Discovery,AstraZeneca (LON: AZN) (Pascal Soriot),Healthcare,Pharmaceuticals and Biotechnology
Stellent,STELLENT INC,25150,STEL.,100.0,14-Dec-2006,2006,443.00,,Automation/Workflow Software,Oracle (NYS: ORCL) (Thomas Kurian),Information Technology,Software
Lev Pharmaceuticals,LEE PHARMACEUTICALS,6641,LPHM.1,94.73684210526316,21-Nov-2008,2008,442.90,,Pharmaceuticals,ViroPharma (Vincent Milano),Healthcare,Pharmaceuticals and Biotechnology
WildBlue Communications,WILTEL COMMUNICATIONS GROUP,124441,WTEL,86.36363636363636,15-Dec-2009,2009,442.70,,Internet Service Providers,ViaSat (NAS: VSAT) (Mark Dankberg),Information Technology,Communications and Networking
TippingPoint Technologies,TIPPINGPOINT TECHNOLOGIES,133047,TPTI,100.0,01-Jan-2005,2005,442.00,Public to Private,Other Hardware,3Com,Information Technology,Computer Hardware
AIM Healthcare Services,AMN HEALTHCARE SERVICES INC,144520,AMN,95.65217391304348,01-Jun-2009,2009,440.00,,Practice Management (Healthcare),,Healthcare,Healthcare Services
Cryogenic Industries,CYTEC INDUSTRIES INC,29511,CYT.1,83.33333333333334,21-Aug-2017,2017,440.00,,Machinery (B2B),Nikkiso (TKS: 6376) (Toshihiko Kai),Business Products and Services (B2B),Commercial Products
Fox Energy Company,FX ENERGY INC,28460,FXEN,94.73684210526316,29-Mar-2013,2013,440.00,,Electrical Equipment,Wisconsin Public Service,Business Products and Services (B2B),Commercial Products
Lenel Systems International,LIFELINE SYSTEMS INC,6722,LIFE.1,82.75862068965517,01-May-2005,2005,440.00,,Security Services (B2B),RTX (NYS: RTX),Business Products and Services (B2B),Commercial Services
Vnus Medical Technologies,VNUS MEDICAL TECHNOLOGIES,141276,VNUS,100.0,17-Jun-2009,2009,440.00,,Other Devices and Supplies,Covidien (Jose Almeida),Healthcare,Healthcare Devices and Supplies
OMNI Energy Services,OMNI ENERGY SERVICES CORP,65973,OMNI,100.0,31-Oct-2012,2012,439.70,,Other Energy Services,Gibsons (TSE: GEI) (Stewart Hanlon),Energy,Energy Services
SI International,SI INTERNATIONAL INC,148650,SINT.1,100.0,29-Dec-2008,2008,439.38,,IT Consulting and Outsourcing,Serco (USA),Information Technology,IT Services
Monster Worldwide,MONSTER WORLDWIDE INC,64156,MWW,100.0,01-Nov-2016,2016,439.29,Public to Private,Media and Information Services (B2B),Randstad (AMS: RAND) (Jacques Broek),Business Products and Services (B2B),Commercial Services
FVNB,FVNB CORP,31254,FVNB,100.0,01-Nov-2013,2013,439.20,Corporate Divestiture,Regional Banks,Prosperity Bancshares (NYS: PB) (David Zalman),Financial Services,Commercial Banks
Capitol Acquisition II,CAPITOL ACQUISITION CORP II,17625,CLAC.1,100.0,01-Jul-2015,2015,439.00,,Special Purpose Acquisition Company (SPAC),Lindblad Expeditions Holdings (NAS: LIND) (Sven-Olof Lindblad),Financial Services,Other Financial Services
Exonics Therapeutics,NEOS THERAPEUTICS INC,25377,NEOS,83.87096774193549,16-Jul-2019,2019,438.35,,Drug Discovery,Vertex Pharmaceuticals (NAS: VRTX),Healthcare,Pharmaceuticals and Biotechnology
Avedro,AVEDRO INC,34682,AVDR.1,100.0,21-Nov-2019,2019,437.80,,Pharmaceuticals,Glaukos (NYS: GKOS) (Thomas Burns),Healthcare,Pharmaceuticals and Biotechnology
TyraTech,SYRATECH CORP,26014,SYRA.1,87.5,05-Nov-2018,2018,436.90,,Specialty Chemicals,American Vanguard (NYS: AVD) (Eric Wintemute),Materials and Resources,Chemicals and Gases
Petro Stopping Centers,PETRO STOPPING CENTERS  -LP,64234,TA4,91.66666666666666,30-May-2007,2007,436.42,,Restaurants and Bars,TravelCenters of America (Thomas O'Brien),Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure"
Cadmus Communications,CADMUS COMMUNICATIONS CORP,2602,CDMS,100.0,07-Mar-2007,2007,435.65,,Information Services (B2C),Cenveo (Robert Burton),Consumer Products and Services (B2C),Media
Southeastern Bank Financial,SOUTHEASTERN BANK FINL CORP,61939,SBFC,89.79591836734694,03-Jan-2017,2017,435.12,,Regional Banks,SouthState Bank (NYS: SSB) (Robert Hill),Financial Services,Commercial Banks
Advertising.com,ADVERTISING.COM INC-REDH,266314,ADCM,83.33333333333334,01-Jun-2007,2007,435.00,,Application Software,Yahoo,Information Technology,Software
ChemTreat,CHEMTURA CORP,3607,CHMT.1,82.35294117647058,24-May-2007,2007,435.00,,Environmental Services (B2B),Danaher (NYS: DHR) (H. Culp),Business Products and Services (B2B),Commercial Services
Cotherix,COTHERIX INC,264398,CTRX.,100.0,09-Jan-2007,2007,434.81,,Therapeutic Devices,Actelion Pharmaceuticals,Healthcare,Healthcare Devices and Supplies
Dean Foods,DEAN FOODS CO,62655,DFODQ,86.95652173913044,01-May-2020,2020,433.00,,Food Products,Dairy Farmers of America (Rick Smith),Consumer Products and Services (B2C),Consumer Non-Durables
NewBridge Bank,NEWBRIDGE BANCORP,16910,NBBC,83.87096774193549,01-Mar-2016,2016,431.30,,Regional Banks,Yadkin Financial (Scott Custer),Financial Services,Commercial Banks
Aviation Technologies,CAVITATION TECHNOLOGIES INC,177281,CVAT,95.45454545454545,07-Feb-2007,2007,430.10,,Aerospace and Defense,TransDigm Group (NYS: TDG) (Raymond Laubenthal),Business Products and Services (B2B),Commercial Products
Facet Biotech,FACET BIOTECH CORP,182015,FACT.1,100.0,21-Apr-2010,2010,430.00,,Drug Discovery,AbbVie (NYS: ABBV),Healthcare,Pharmaceuticals and Biotechnology
MortgageIT,MORTGAGEIT HOLDINGS INC,160726,MHL,100.0,03-Jan-2007,2007,430.00,,Thrifts and Mortgage Finance,Deutsche Bank (ETR: DBK),Financial Services,Commercial Banks
Provide Commerce,PROVIDE COMMERCE INC,156415,PRVD,100.0,31-Dec-2014,2014,430.00,Corporate Divestiture,Specialty Retail,GUE Liquidation (Robert Apatoff),Consumer Products and Services (B2C),Retail
Sisecam Resources,SISECAM RESOURCES LP,18321,SIRE,91.89189189189189,26-Oct-2015,2015,430.00,Corporate Divestiture,Industrial Chemicals,Ciner Group (Turgay Ciner),Materials and Resources,Chemicals and Gases
Visterra,VISTRA CORP,157373,VST,85.71428571428572,31-Aug-2018,2018,430.00,,Drug Discovery,Otsuka Pharmaceutical (Tatsuo Higuchi),Healthcare,Pharmaceuticals and Biotechnology
Drugstore.com,DRUGSTORE.COM INC,122355,DSCM,100.0,24-Mar-2011,2011,429.00,,Specialty Retail,Walgreens Boots Alliance,Consumer Products and Services (B2C),Retail
Noven Pharmaceuticals,NOVEN PHARMACEUTICALS INC,14918,NOVN.1,100.0,27-Aug-2009,2009,428.00,,Pharmaceuticals,Hisamitsu Pharmaceutical (TKS: 4530),Healthcare,Pharmaceuticals and Biotechnology
Steel Connect,STEEL CONNECT INC,29621,STCN,100.0,18-Dec-2017,2017,428.00,,Logistics,"Handy & Harman (William Fejes), Steel Partners Holdings (Jack Howard)",Business Products and Services (B2B),Commercial Services
Apco Oil and Gas International,APCO OIL AND GAS INTL INC,1682,APAGF,100.0,29-Jan-2015,2015,427.00,Corporate Divestiture,Energy Exploration,Pluspetrol Resources,Energy,"Exploration, Production and Refining"
Blackbird Technologies,BACKWEB TECHNOLOGIES LTD,121273,BWEBF,85.71428571428572,05-Nov-2014,2014,427.00,,Network Management Software,Raytheon (Lynn Dugle),Information Technology,Software
GeneWeave Biosciences,GENOCEA BIOSCIENCES INC,19425,GNCAQ,85.0,14-Aug-2015,2015,427.00,,Diagnostic Equipment,Roche (SWX: ROG) (Roland Diggelmann),Healthcare,Healthcare Devices and Supplies
Latrobe Specialty Metals,GLOBE SPECIALTY METALS INC,274165,GSM.3,91.30434782608697,29-Feb-2012,2012,427.00,,Iron and Steel Mining,Carpenter Technology (NYS: CRS) (William Wulfsohn),Materials and Resources,"Metals, Minerals and Mining"
InfaCare Pharmaceutical,ANACOR PHARMACEUTICALS INC,179438,ANAC.1,84.44444444444444,25-Sep-2017,2017,425.40,,Other Pharmaceuticals and Biotechnology,Mallinckrodt Pharmaceuticals (Steven Romano),Healthcare,Pharmaceuticals and Biotechnology
AgraQuest,AGRAQUEST INC,144808,AGRQ,100.0,16-Aug-2012,2012,425.00,,Agricultural Chemicals,Bayer CropScience (BOM: 506285) (Sandra Peterson),Materials and Resources,Chemicals and Gases
Care Investment Trust,BEXIL INVESTMENT TRUST,112000,BXSY,83.72093023255813,01-Feb-2018,2018,425.00,Corporate Divestiture,Buildings and Property,Invesque (TSE: IVQ.U),Business Products and Services (B2B),Other Business Products and Services
Good Technology,ON TECHNOLOGY CORP,61102,ONTC.,85.71428571428572,30-Oct-2015,2015,425.00,,Business/Productivity Software,Blackberry (TSE: BB) (John Chen),Information Technology,Software
Halo Pharmaceutical,AVEO PHARMACEUTICALS INC,184046,AVEO,87.17948717948718,23-Jul-2018,2018,425.00,,Other Pharmaceuticals and Biotechnology,Cambrex (Steven Klosk),Healthcare,Pharmaceuticals and Biotechnology
Initiate Systems,INITIATE SYSTEMS INC -REDH,179730,ISNY,84.21052631578947,01-Mar-2010,2010,424.00,,Business/Productivity Software,International Business Machines (NYS: IBM),Information Technology,Software
TeleCommunication Systems,TELECOMMUNICATION SYS INC,138613,TSYS,91.30434782608697,23-Feb-2016,2016,423.60,,Connectivity Products,Comtech Telecommunications (NAS: CMTL) (Stanton Sloane),Information Technology,Communications and Networking
Lyco Energy,VAALCO ENERGY INC,27199,EGY,83.33333333333334,01-Aug-2005,2005,421.00,,Energy Exploration,Enerplus,Energy,"Exploration, Production and Refining"
Dermik Laboratories,DEL LABORATORIES INC,3840,DLI,85.71428571428572,16-Dec-2011,2011,420.50,Corporate Divestiture,Pharmaceuticals,Bausch Health Companies (TSE: BHC) (Michael Pearson),Healthcare,Pharmaceuticals and Biotechnology
Zoran,ZORAN CORP,61737,ZRAN,100.0,31-Aug-2011,2011,420.40,,Automotive,Qualcomm Technologies International,Consumer Products and Services (B2C),Transportation
Claymont Steel Holdings,CLAYMONT STEEL HOLDINGS INC,175742,PLTE,100.0,16-Jan-2008,2008,420.00,,Iron and Steel Mining,Evraz (LON: EVR) (Alexander Frolov),Materials and Resources,"Metals, Minerals and Mining"
Inspire Pharmaceuticals,INSPIRE PHARMACEUTICALS INC,138466,ISPH,100.0,16-May-2011,2011,420.00,,Pharmaceuticals,Merck & Co. (NYS: MRK),Healthcare,Pharmaceuticals and Biotechnology
JBoss,BOSS HOLDINGS INC,121196,BSHI,88.88888888888889,05-Jun-2006,2006,420.00,,Application Software,Red Hat,Information Technology,Software
Telex Communications Holdings,TELEX COMMUNICATIONS INC,120493,9721B,100.0,30-Sep-2006,2006,420.00,,Electronics (B2C),Bosch (Automotive) (Peter Marks),Consumer Products and Services (B2C),Consumer Durables
Genencor International,GENENCOR INTL INC,138203,GCOR.1,100.0,21-Apr-2005,2005,419.80,Public to Private,Biotechnology,DuPont Nutrition & Health,Healthcare,Pharmaceuticals and Biotechnology
Hudson,HUDSON HOLDING CORP,13344,3HDHL,100.0,20-Sep-2017,2017,419.50,,Electrical Equipment,Chart Industries (NYS: GTLS) (William Johnson),Business Products and Services (B2B),Commercial Products
Progenics Pharmaceuticals,PROGENICS PHARMACEUTICAL INC,65872,PGNX,97.95918367346938,19-Jun-2020,2020,419.01,,Drug Discovery,Lantheus Medical Imaging (NAS: LNTH) (Mary Heino),Healthcare,Pharmaceuticals and Biotechnology
MediaMind Technologies,MEDIAMIND TECHNOLOGIES INC,179648,MDMD,100.0,21-Jun-2011,2011,418.48,,Media and Information Services (B2B),DG FastChannel,Business Products and Services (B2B),Commercial Services
American Railcar Industries,AMERICAN RAILCAR INDS INC,165358,ARII,87.5,26-Jul-2019,2019,418.27,,Rail,The Greenbrier Companies (NYS: GBX) (William Furman),Business Products and Services (B2B),Commercial Transportation
Summit Entertainment,MDI ENTERTAINMENT INC,65561,3LTRY,86.48648648648648,13-Jan-2012,2012,418.01,,Media and Information Services (B2B),LionsGate Entertainment (Acquired) (Jon Feltheimer),Business Products and Services (B2B),Commercial Services
Techwell,TECHWELL INC,166449,TWLL,100.0,22-Mar-2010,2010,418.00,,General Purpose Semiconductors,Intersil (Dave Bell),Information Technology,Semiconductors
Continucare,CONTINUCARE CORP,61061,CNU,100.0,10-Oct-2011,2011,416.00,,Clinics/Outpatient Services,Metropolitan Health Networks,Healthcare,Healthcare Services
Rent.com,ENOTE.COM INC,11332,ENOT,82.35294117647058,23-Feb-2005,2005,415.00,,Real Estate Services (B2C),eBay (NAS: EBAY),Consumer Products and Services (B2C),Services (Non-Financial)
RetailMeNot,RETAILMENOT INC,18177,SALE.,100.0,28-Oct-2020,2020,414.38,Corporate Divestiture,Information Services (B2C),Ziff Davis (NAS: ZD) (Vivek Shah),Consumer Products and Services (B2C),Media
Accelerated Payment Technologies,CAREPAYMENT TECHNOLOGIES INC,146111,CPYT,82.14285714285714,02-Oct-2012,2012,413.00,,Other Financial Services,Global Payments (NYS: GPN) (Paul Garcia),Financial Services,Other Financial Services
Altegris,ALERIS CORP,13712,6685B,85.71428571428572,03-Sep-2013,2013,412.50,,Asset Management,"Aquiline (New York) (Steven Spiegel), Genstar Capital (Anthony Salewski)",Financial Services,Capital Markets/Institutions
InterMetro Industries,INSTEEL INDUSTRIES,4498,IIIN,82.05128205128204,17-Sep-2015,2015,411.00,Corporate Divestiture,Other Commercial Products,Ali Group (Luciano Berti),Business Products and Services (B2B),Commercial Products
United States Exploration,UNITED STATES EXPLORATION,25628,UXP,100.0,04-Apr-2006,2006,411.00,,Energy Production,Noble Energy (Gulf of Mexico Shelf Assets),Energy,"Exploration, Production and Refining"
Ambit Biosciences,AMBIT BIOSCIENCES CORP,185857,AMBI.2,100.0,11-Nov-2014,2014,410.00,,Drug Discovery,Daiichi Sankyo Company (TKS: 4568) (Joji Nakayama),Healthcare,Pharmaceuticals and Biotechnology
Anchen Pharmaceuticals,ACUMEN PHARMACEUTICALS INC,38986,ABOS,90.9090909090909,17-Nov-2011,2011,410.00,,Pharmaceuticals,Par Pharmaceutical Companies (Patrick LePore),Healthcare,Pharmaceuticals and Biotechnology
CyOptics,CYBEROPTICS CORP,14108,CYBE,84.21052631578947,23-Jun-2013,2013,410.00,,Fiberoptic Equipment,Broadcom (General Purpose Semiconductors) (NAS: AVGO) (Hock Tan),Information Technology,Communications and Networking
Ellipse Technologies,ELITE TECHNOLOGIES INC,105979,ETCH,89.47368421052632,19-Feb-2016,2016,410.00,,Therapeutic Devices,NuVasive (Gregory Lucier),Healthcare,Healthcare Devices and Supplies
MatrixOne,MATRIXONE INC,132405,MONE.1,100.0,11-May-2006,2006,410.00,,Business/Productivity Software,Dassault Systemes (PAR: DSY) (Bernard Charles),Information Technology,Software
Semmle,SEMELE GROUP INC,15174,SMLE.1,83.33333333333334,18-Sep-2019,2019,410.00,,IT Consulting and Outsourcing,GitHub (Nat Friedman),Information Technology,IT Services
Harden Healthcare,HCA HEALTHCARE INC,22260,HCA,83.87096774193549,18-Oct-2013,2013,408.80,,Elder and Disabled Care,Centerwell Health Services (Tony Strange),Healthcare,Healthcare Services
Enventis,ENVENTIS CORP,6995,ENVE,100.0,17-Oct-2014,2014,407.60,Corporate Divestiture,Telecommunications Service Providers,Consolidated Communications (Robert Currey),Information Technology,Communications and Networking
Wilmington Trust,WILMINGTON TRUST CORP,11513,WL,100.0,16-May-2011,2011,406.30,,Investment Banks,M&T Bank (NYS: MTB) (Robert Wilmers),Financial Services,Capital Markets/Institutions
The Lane Construction,GRANITE CONSTRUCTION INC,21429,GVA,82.92682926829268,04-Jan-2016,2016,406.00,,Construction and Engineering,Webuild (Construction and Engineering) (MIL: WBD) (Pietro Salini),Business Products and Services (B2B),Commercial Services
Crown Bioscience,COGENT BIOSCIENCES INC,36949,COGT,82.35294117647058,28-Jun-2018,2018,405.72,,Other Pharmaceuticals and Biotechnology,JSR,Healthcare,Pharmaceuticals and Biotechnology
Healthcare Solutions,SUN HEALTHCARE GROUP INC,28543,SUNH.1,82.35294117647058,08-Apr-2015,2015,405.00,,Practice Management (Healthcare),Catamaran,Healthcare,Healthcare Services
UFC Aerospace,US AEROSPACE INC,8036,USAE,88.0,30-Jan-2012,2012,404.70,,Logistics,B/E Aerospace,Business Products and Services (B2B),Commercial Services
Metro Bancorp,METRO BANCORP INC,30640,METR,100.0,13-Feb-2016,2016,404.25,,Regional Banks,First National Bank (National Banks) (NYS: FNB) (Vincent Delie),Financial Services,Commercial Banks
Pericom Semiconductor,PERICOM SEMICONDUCTOR CORP,65739,PSEM,100.0,25-Nov-2015,2015,403.17,,General Purpose Semiconductors,Diodes (NAS: DIOD) (Keh-Shew Lu),Information Technology,Semiconductors
Almirall (Pharmaceuticals),VALERA PHARMACEUTICALS INC,163121,VLRX.1,83.33333333333334,02-Jan-2014,2014,402.60,,Pharmaceuticals,Almirall (MAD: ALM),Healthcare,Pharmaceuticals and Biotechnology
Protez Pharmaceuticals,PROTIDE PHARMACEUTICALS INC,25003,PPMD,93.33333333333333,04-Jun-2008,2008,402.00,,Pharmaceuticals,Novartis (SWX: NOVN) (Joseph Jimenez),Healthcare,Pharmaceuticals and Biotechnology
Active Health Management,HEALTH MANAGEMENT ASSOC,12338,HMA.2,85.1063829787234,27-May-2005,2005,400.00,,Other Healthcare Services,Aetna,Healthcare,Healthcare Services
Athenix,ATHENEX INC,31405,ATNXQ,85.71428571428572,02-Nov-2009,2009,400.00,,Agricultural Chemicals,Bayer CropScience (BOM: 506285) (Lykele van der Broek),Materials and Resources,Chemicals and Gases
Blade Network Technologies,NETWORK-1 TECHNOLOGIES INC,115831,NTIP,83.33333333333334,29-Oct-2010,2010,400.00,,Connectivity Products,International Business Machines (NYS: IBM) (Brian Truskowski),Information Technology,Communications and Networking
CECity,CELCUITY INC,32356,CELC,85.71428571428572,20-Aug-2015,2015,400.00,,Social/Platform Software,Premier (Susan DeVore),Information Technology,Software
Chartwell Pennsylvania,ALLTEL PENNSYLVANIA INC,1336,AT2,82.92682926829268,01-Dec-2020,2020,400.00,,Other Healthcare Services,CarepathRx (John Figueroa),Healthcare,Healthcare Services
CoGenesys,GENESYS SA,233149,GNSYY,87.5,21-Feb-2008,2008,400.00,,Drug Discovery,Teva Pharmaceutical Industries (TAE: TEVA) (Shlomo Yanai),Healthcare,Pharmaceuticals and Biotechnology
FoldRx Pharmaceuticals,PD-RX PHARMACEUTICALS INC,24891,PDRX,88.37209302325581,06-Oct-2010,2010,400.00,,Drug Discovery,Pfizer (Pharmaceuticals) (NYS: PFE),Healthcare,Pharmaceuticals and Biotechnology
Savi Technology,AVID TECHNOLOGY INC,27925,AVID,93.33333333333333,08-Jun-2006,2006,400.00,,Business/Productivity Software,Lockheed Martin (NYS: LMT),Information Technology,Software
Vertica Systems,VERINT SYSTEMS INC,147242,VRNT,82.75862068965517,14-Feb-2011,2011,400.00,,Database Software,HP (NYS: HPQ),Information Technology,Software
Nextest Systems,NEXTEST SYSTEMS CORP,160231,NEXT.2,100.0,24-Jan-2008,2008,399.71,,Electronic Equipment and Instruments,Teradyne (NAS: TER) (Michael Bradley),Information Technology,Computer Hardware
Steel Technologies,STEEL TECHNOLOGIES INC,10044,STTX.,100.0,01-Jun-2007,2007,397.00,,Iron and Steel Mining,Mitsui & Co. (U.S.A.),Materials and Resources,"Metals, Minerals and Mining"
Tower Bancorp,TOWER BANCORP INC,19658,TOBC,100.0,17-Feb-2012,2012,395.70,,Regional Banks,BB&T Commercial Equipment Capital (William Reuter),Financial Services,Commercial Banks
NDCHealth,NDCHEALTH CORP,7723,NDC,100.0,06-Jan-2006,2006,395.00,,Enterprise Systems (Healthcare),Per-Se Technologies,Healthcare,Healthcare Technology Systems
PowerA,OPOWER INC,19910,OPWR,83.33333333333334,17-Dec-2020,2020,395.00,Corporate Divestiture,Electronics (B2C),ACCO Brands USA (Illinois) (NYS: ACCO) (Boris Elisman),Consumer Products and Services (B2C),Consumer Durables
ATS Medical,ATS MEDICAL INC,22308,ATSI,100.0,12-Aug-2010,2010,394.00,,Other Devices and Supplies,Medtronic (NYS: MDT),Healthcare,Healthcare Devices and Supplies
Martha Stewart Living Omnimedia,MARTHA STEWART LIVING OMNIMD,125237,MSO,94.91525423728814,04-Dec-2015,2015,392.96,,Information Services (B2C),Sequential Brands Group,Consumer Products and Services (B2C),Media
Prolexic Technologies,PROFILE TECHNOLOGIES INC,64688,PRTKQ,87.8048780487805,18-Feb-2014,2014,392.10,,Network Management Software,Akamai Technologies (NAS: AKAM) (F. Leighton),Information Technology,Software
Cellestis,CELLECTIS SA,282608,CLLS,88.88888888888889,29-Aug-2011,2011,391.84,,Diagnostic Equipment,Qiagen (NYS: QGEN) (Peer Schatz),Healthcare,Healthcare Devices and Supplies
Supertex,SUPERTEX INC,10200,SUPX.1,100.0,01-Apr-2014,2014,391.80,,General Purpose Semiconductors,Microchip Technology (NAS: MCHP) (Steven Sanghi),Information Technology,Semiconductors
Rose Rock Midstream,ROSE ROCK MIDSTREAM LP,187814,RRMS,92.6829268292683,30-Sep-2016,2016,391.50,,Energy Transportation,SemGroup,Energy,Energy Services
Tradestation Group,TRADESTATION GROUP INC,65521,TRAD,100.0,10-Jun-2011,2011,391.30,,Financial Software,Monex Group (TKS: 8698) (Takashi Oyagi),Information Technology,Software
OneSource Services,INFRASOURCE SERVICES,160343,IFS.4,84.21052631578947,14-Nov-2007,2007,390.50,,BPO/Outsource Services,ABM Industries (NYS: ABM),Business Products and Services (B2B),Commercial Services
HMS Healthcare,SUN HEALTHCARE GROUP INC,28543,SUNH.1,85.71428571428572,18-Jul-2005,2005,390.00,,Holding Companies,Aetna (Ronald Williams),Financial Services,Other Financial Services
Vignette,VIGNETTE CORP,118445,VIGN,100.0,21-Jul-2009,2009,389.96,Public to Private,Application Software,OpenText (TSE: OTEX) (John Shackleton),Information Technology,Software
Charter Financial,CHARTER ONE FINANCIAL INC,16751,CF.6,89.47368421052632,01-Sep-2018,2018,389.48,,National Banks,CenterState Bank (John Corbett),Financial Services,Commercial Banks
Vitesse Semiconductor,VITESSE SEMICONDUCTOR CORP,24803,VTSS,100.0,28-Apr-2015,2015,389.00,,Application Specific Semiconductors,Microsemi (James Peterson),Information Technology,Semiconductors
OraPharma,ORAPHARMA INC,132641,OPHM,100.0,18-Jun-2012,2012,388.50,,Pharmaceuticals,Bausch Health Companies (TSE: BHC),Healthcare,Pharmaceuticals and Biotechnology
American Physicians Capital,AMERICAN PHYSICIANS CAPITAL,141497,ACAP.1,100.0,22-Oct-2010,2010,386.90,Public to Private,Life and Health Insurance,The Doctors Company (Richard Anderson),Financial Services,Insurance
