costat,curcd,datafmt,indfmt,consol,tic,datadate,gvkey,conm,exchg,fyear,ap,at,che,dlc,dltt,lt,rect,wcap,dp,ebitda,ni,oibdp,sale,xsga,capx,csho,prcc_f,sich,company_clean,ma_target,pb_company,deal_date,deal_size,deal_type2,match_score,pb_industry_code,pb_investors,pb_industry_sector,pb_industry_group,total_debt,ebitda_margin,net_margin,leverage,capex_intensity,roa,current_ratio,market_cap,ev_ebitda,asset_turnover,cash_ratio
I,USD,STD,INDL,C,EYTCQ,2002-12-31,147483,ENERGYTEC INC,19.0,2002,0.923,7.733,0.17,0.589,2.103,4.053,0.505,-1.27,0.174,-0.073,1.022,-0.073,1.02,0.233,3.009,44.241,0.13,1311.0,ENERGYTEC,0,,,,,,1311,,,,2.692,-0.07156862745098039,0.7017265120220315,0.3481184533816113,2.9499999999999997,0.13216086900297427,-0.31334813718233406,5.75133,-78.78534246575343,0.13190223716539506,0.021983706194232514
I,USD,STD,INDL,C,BWLD,2014-12-31,157218,BUFFALO WILD WINGS INC,14.0,2014,37.241,853.466,112.876,0.0,0.0,279.167,38.101,68.444,98.425,234.149,94.094,234.149,1516.223,135.409,137.466,18.937,180.38,5812.0,BUFFALO WILD WINGS,0,,,,,,5812,,,,0.0,0.15442913080727572,0.06205815371485593,0.0,0.09066344462522993,0.11024926593443675,0.24517224457045428,3415.85606,14.5883862839474,1.776547630485573,0.13225600082487177
I,USD,STD,INDL,C,ZAGG,2019-12-31,177975,ZAGG INC,14.0,2019,87.303,469.231,17.801,2.099,117.739,277.752,142.804,151.66,23.903,36.045,13.92,36.045,521.922,154.222,8.702,29.555,8.11,3231.0,ZAGG,0,,,,,,3231,,,,119.83800000000001,0.06906204375366434,0.026670651936496256,0.25539233341360656,0.01667298945053092,0.029665559180872533,0.5460266712750943,239.69105,6.649772506588985,1.1122922398562756,0.037936538719735055
A,USD,STD,INDL,C,ULTA,2017-01-31,178704,ULTA BEAUTY INC,14.0,2016,259.518,2551.878,415.01,0.0,0.0,1001.66,88.631,1006.894,210.295,865.119,409.76,865.119,4854.737,1092.405,373.747,62.129,272.28,5990.0,ULTA BEAUTY,0,,,,,,5990,,,,0.0,0.17820100244359272,0.08440416030775715,0.0,0.0769860447641139,0.1605719395676439,1.0052253259589083,16916.484119999997,19.553938960998426,1.9024173569426124,0.16262924794994116
A,USD,STD,INDL,C,MCBK,2012-12-31,15149,MADISON COUNTY FINANCIAL INC,19.0,2012,195.187,267.257,9.418,0.3,6.0,205.193,207.157,,0.391,6.745,3.63,6.745,13.719,4.289,0.061,2.948,16.4,6035.0,MADISON COUNTY FINANCIAL,0,,,,,,6035,,,,6.3,0.49165391063488595,0.2645965449376777,0.023572815679289972,0.004446388220715795,0.013582431891400413,,48.347199999999994,7.1678576723498875,0.05133261242923478,0.03523948858215126
I,USD,STD,INDL,C,WAIR,2009-09-30,187714,WESCO AIRCRAFT HOLDINGS INC,11.0,2009,61.033,1254.812,11.406,7.347,684.268,780.872,85.247,526.375,10.065,144.457,58.447,144.457,612.687,93.83,4.135,84.965,,5080.0,WESCO AIRCRAFT,0,,,,,,5080,,,,691.615,0.23577617935422163,0.0953945489295513,0.5511702151397979,0.0067489599093827676,0.04657829220632255,0.67408614984274,,5.4193478578814185,0.4882699559774692,0.009089807875602084
I,USD,STD,INDL,C,BJ.1,2000-01-31,65105,BJ'S WHOLESALE CLUB INC,11.0,1999,288.54,1073.448,60.437,0.22,2.05,496.05,51.998,133.476,46.476,224.011,111.149,224.011,4206.247,303.074,87.475,73.543,35.0,5331.0,BJ S WHOLESALE CLUB,0,,,,,,5331,,,,2.27,0.053256739321299956,0.026424743958212628,0.0021146809160760465,0.0207964487106915,0.1035439071105447,0.269077713940127,2574.005,11.490529482927178,3.918445048106662,0.05630174912990661
A,USD,STD,INDL,C,SPDC,2000-03-31,29433,SPEED COMMERCE INC,19.0,1999,66.718,109.711,15.739,0.0,0.0,68.288,56.858,26.946,1.381,-3.173,-7.785,-3.173,285.165,39.313,2.672,23.534,3.9375,5045.0,SPEED COMMERCE,0,,,,,,5045,,,,0.0,-0.011126891448810338,-0.027299984219662298,0.0,0.009370013851629758,-0.07095915632890047,0.39459348641049674,92.66512499999999,-29.20426252757642,2.5992379980129616,0.14345872337322604
A,USD,STD,INDL,C,DELTF,2004-12-31,224604,DELTA GALIL INDUSTRIES LTD,19.0,2004,80.338,534.497,22.15,83.545,99.437,309.705,113.076,127.382,15.185,37.772,12.685,37.772,654.269,98.646,13.484,18.695,10.343,2340.0,DELTA GALIL INDUSTRIES,0,,,,,,2340,,,,182.982,0.05773160580739726,0.019388049869396226,0.3423442975358141,0.020609260105552914,0.023732593447671365,0.4113010768311781,193.362385,5.119199009848565,1.224083577644028,0.041440831286237344
A,USD,STD,INDL,C,WBS,2005-12-31,17150,WEBSTER FINANCIAL CORP,11.0,2005,11631.145,17836.562,330.008,2735.849,1641.448,16179.759,12138.8,,53.694,392.537,185.855,392.537,1091.532,334.989,58.539,53.662,46.9,6020.0,WEBSTER FINANCIAL,0,,,,,,6020,,,,4377.2970000000005,0.3596202401761927,0.1702698592437052,0.24541147559714704,0.05363012719737031,0.01041988921407612,,2516.7478,6.411491910316735,0.06119632247514963,0.018501771810060703
